iter	MultiClass
0	1.295117696
1	1.209374346
2	1.141285921
3	1.077120153
4	1.028380538
5	0.9959641383
6	0.9649309627
7	0.9334735669
8	0.9070676599
9	0.8836253738
10	0.8653730082
11	0.8444147366
12	0.8285178697
13	0.813881995
14	0.8035557093
15	0.7928322408
16	0.7825261882
17	0.7720072766
18	0.7632904178
19	0.7555342502
20	0.7493104485
21	0.7421266186
22	0.7364952707
23	0.7308031756
24	0.7242641222
25	0.7186429189
26	0.7141183771
27	0.7093584064
28	0.7026291121
29	0.6997047431
30	0.6961654882
31	0.6927970595
32	0.6901505446
33	0.68656188
34	0.6833517066
35	0.6812210387
36	0.6785565767
37	0.6763250985
38	0.6736179908
39	0.6697952758
40	0.6675335585
41	0.6653520371
42	0.6634961153
43	0.6600622151
44	0.6575557093
45	0.6554546562
46	0.6538568329
47	0.6516323822
48	0.6501166811
49	0.6484819182
50	0.6472107264
51	0.6453616994
52	0.6430030426
53	0.6407448549
54	0.6391816879
55	0.6371768563
56	0.6346832556
57	0.6334378558
58	0.6324247514
59	0.630897028
60	0.6279509406
61	0.6261764097
62	0.6244238879
63	0.6231367987
64	0.6219308206
65	0.6211598961
66	0.6199958279
67	0.6170805261
68	0.6146570971
69	0.6129853212
70	0.6114825102
71	0.6102863723
72	0.6093069175
73	0.6065707975
74	0.6047690759
75	0.6030934621
76	0.6015738016
77	0.6005289682
78	0.5991525873
79	0.5966105208
80	0.5952357356
81	0.5933453169
82	0.5913600943
83	0.5899847682
84	0.5888625199
85	0.5875214969
86	0.5861889436
87	0.585660602
88	0.5846230712
89	0.5826379216
90	0.5796020632
91	0.5788627829
92	0.5771617831
93	0.5753975141
94	0.5740315945
95	0.5714868944
96	0.5700717553
97	0.5684747229
98	0.5673502835
99	0.5653380371
100	0.5642708404
101	0.5621138839
102	0.5616678094
103	0.5606078433
104	0.5598351686
105	0.5588454728
106	0.557722695
107	0.5562951843
108	0.5554541468
109	0.5550897061
110	0.5537766058
111	0.5530039305
112	0.552283078
113	0.5513458083
114	0.5506801573
115	0.5495986676
116	0.5481249231
117	0.5475232715
118	0.546315687
119	0.5442792523
120	0.5424678551
121	0.5411452864
122	0.5398153961
123	0.5389726036
124	0.5383945224
125	0.5371033226
126	0.5361456714
127	0.535812539
128	0.5346960406
129	0.5337019987
130	0.5327541744
131	0.531443212
132	0.530110763
133	0.5291193471
134	0.5279323517
135	0.5274042249
136	0.5261226639
137	0.5253391806
138	0.5244234235
139	0.5238215458
140	0.5231323814
141	0.5220970975
142	0.5203316584
143	0.5194729237
144	0.518440224
145	0.5170019722
146	0.5149787042
147	0.5132368821
148	0.5129274157
149	0.5120225645
150	0.5103289904
151	0.5091593349
152	0.5079446204
153	0.5077338958
154	0.5062518708
155	0.5055746316
156	0.5050469722
157	0.5039371644
158	0.5029030049
159	0.5010578405
160	0.5007403528
161	0.4995060318
162	0.4979576569
163	0.4972899225
164	0.4961990496
165	0.4954417258
166	0.4942053587
167	0.4931970552
168	0.4925751282
169	0.4917788756
170	0.4910627451
171	0.4900991473
172	0.4896676913
173	0.4891658092
174	0.4881191702
175	0.4868911862
176	0.4857771049
177	0.4837386193
178	0.4830058447
179	0.4820160348
180	0.4803371544
181	0.4788527308
182	0.477993196
183	0.4774452716
184	0.4768875805
185	0.4761889587
186	0.4761262643
187	0.475564482
188	0.4739207142
189	0.4733867586
190	0.4730091374
191	0.4724568793
192	0.4718036021
193	0.4708862836
194	0.4701133388
195	0.4689967264
196	0.467875689
197	0.4676578636
198	0.4665328699
199	0.4663364885
200	0.4649793411
201	0.4638661982
202	0.4633465775
203	0.4622961253
204	0.461129771
205	0.460245658
206	0.4596592354
207	0.4588683491
208	0.4576135616
209	0.4573401696
210	0.4561937485
211	0.4549118173
212	0.4544234862
213	0.4534300067
214	0.4522279706
215	0.4513335243
216	0.4506924073
217	0.4502689842
218	0.4489893094
219	0.4486843498
220	0.4478626589
221	0.4470260941
222	0.4458411715
223	0.4450840822
224	0.4442569918
225	0.4433952762
226	0.4428388282
227	0.4422717212
228	0.4410056548
229	0.4406201557
230	0.439194376
231	0.438139605
232	0.4377480191
233	0.4369048381
234	0.4364232126
235	0.4355227581
236	0.4349342843
237	0.4341819408
238	0.4336045433
239	0.4322987133
240	0.4319643934
241	0.4309908448
242	0.4295232862
243	0.4285112964
244	0.427242847
245	0.426718703
246	0.4252007491
247	0.4235955077
248	0.422498071
249	0.422159303
250	0.4214091863
251	0.4204108885
252	0.4194463908
253	0.4188654849
254	0.4184126902
255	0.4172983009
256	0.416164066
257	0.4154835071
