iter	Passed	Remaining
0	175	175145
1	195	97491
2	209	69630
3	222	55293
4	233	46520
5	245	40687
6	258	36661
7	271	33702
8	284	31318
9	297	29408
10	310	27894
11	323	26630
12	337	25616
13	350	24710
14	363	23900
15	378	23247
16	392	22698
17	407	22219
18	422	21791
19	436	21411
20	452	21105
21	467	20797
22	483	20518
23	497	20225
24	512	20005
25	528	19796
26	544	19628
27	560	19451
28	576	19289
29	591	19138
30	607	18992
31	623	18864
32	640	18757
33	656	18656
34	673	18556
35	689	18464
36	706	18381
37	722	18290
38	738	18203
39	754	18116
40	770	18030
41	786	17940
42	803	17878
43	819	17804
44	835	17732
45	852	17670
46	868	17603
47	885	17553
48	901	17493
49	917	17441
50	934	17384
51	950	17332
52	967	17281
53	984	17245
54	1000	17197
55	1018	17166
56	1034	17122
57	1051	17073
58	1067	17026
59	1083	16980
60	1100	16935
61	1116	16892
62	1133	16855
63	1150	16820
64	1166	16784
65	1183	16746
66	1200	16716
67	1216	16679
68	1233	16649
69	1250	16613
70	1271	16643
71	1290	16632
72	1307	16605
73	1324	16569
74	1340	16535
75	1357	16503
76	1374	16472
77	1390	16435
78	1407	16405
79	1424	16378
80	1440	16343
81	1457	16318
82	1474	16288
83	1490	16257
84	1507	16232
85	1524	16202
86	1541	16171
87	1557	16145
88	1574	16116
89	1590	16086
90	1607	16059
91	1624	16029
92	1640	16004
93	1657	15974
94	1673	15944
95	1690	15918
96	1706	15890
97	1723	15860
98	1739	15833
99	1756	15807
100	1772	15778
101	1789	15751
102	1806	15730
103	1823	15707
104	1840	15684
105	1856	15656
106	1873	15632
107	1889	15606
108	1906	15580
109	1922	15552
110	1938	15528
111	1955	15500
112	1971	15475
113	1987	15450
114	2004	15425
115	2020	15400
116	2038	15381
117	2055	15364
118	2072	15342
119	2088	15314
120	2104	15291
121	2121	15264
122	2137	15240
123	2153	15215
124	2170	15193
125	2186	15168
126	2203	15145
127	2219	15123
128	2236	15097
129	2252	15074
130	2269	15054
131	2286	15034
132	2302	15011
133	2319	14987
134	2335	14964
135	2351	14938
136	2367	14915
137	2384	14893
